nombre,telefono,es_movil,whatsapp,instagram,instagram_dm,sitio_web,direccion,canal_sugerido,fuente
La Barbería 1979,+56 9 7967 9856,si,https://wa.me/56979679856,@labarberia.1979,https://ig.me/m/labarberia.1979,,6 Pte. 372 Viña del Mar,WhatsApp,"instagram.com/labarberia.1979"
D'Jones Barber,+56 9 3121 5441,si,https://wa.me/56931215441,,,https://www.djonesbarberia.cl/,Villanelo 279 Viña del Mar,WhatsApp,"djonesbarberia.cl"
Humano Salón Barber,+56 9 5167 1476,si,https://wa.me/56951671476,@humanosalon,https://ig.me/m/humanosalon,https://humanosalonbarber.cl/,3 Norte 144 Viña del Mar,WhatsApp,"humanosalonbarber.cl (fijo alt: 32 336 0704)"
Cambia tu Look,+56 9 4292 9457,si,https://wa.me/56942929457,,,https://cambiatulook.cl/barberia/,10 Norte 1050 Viña del Mar,WhatsApp,"cambiatulook.cl (email: contacto@cambiatulook.cl)"
The Black Barber,+56 9 7527 3150,si,https://wa.me/56975273150,@theblackbarber.cl,https://ig.me/m/theblackbarber.cl,,1 Pte 465 Viña del Mar,WhatsApp,"barberiasenchile.top"
Siete Y Once Barbershop,+56 9 5130 8924,si,https://wa.me/56951308924,@sieteyoncebarbershop,https://ig.me/m/sieteyoncebarbershop,,Viana 253 Viña del Mar,WhatsApp,"facebook.com/sieteyoncebarbershop"
Bear MenStudio,+56 9 7176 9310,si,https://wa.me/56971769310,@bear_menstudio,https://ig.me/m/bear_menstudio,https://bear-menstudio.cl/,Traslaviña 233 / 10 Norte 655 Viña del Mar,WhatsApp,"agendapro / bear-menstudio.cl"
Chic&Barber,,no,,@chic.barber,https://ig.me/m/chic.barber,https://www.chicbarber.cl/,Quillota 490 Viña del Mar,Instagram DM,"chicbarber.cl"
Mapu Barber Shop,,no,,@mapubarber,https://ig.me/m/mapubarber,https://mapubarbershop.cl/,1 Ote. 876 Viña del Mar,Instagram DM,"mapubarbershop.cl"
Macho's Barbershop,,no,,@machos_barbershop,https://ig.me/m/machos_barbershop,,4 Norte 477 local 5 Viña del Mar,Instagram DM,"fresha.com"
Barbería Alfa Men,,no,,@barberia_alfa,https://ig.me/m/barberia_alfa,,Av. Valparaíso 694 Local 14 Viña del Mar,Instagram DM,"instagram.com/barberia_alfa"
SOBE CUTZ,,no,,@sobe.cutz,https://ig.me/m/sobe.cutz,https://sobecutz.setmore.com/,Av. Alessandri 3920 Local 3 (Achupallas) Viña del Mar,Instagram DM,"setmore"
Bloodhabib Barbershop,,no,,@bloodhabib.barbershop,https://ig.me/m/bloodhabib.barbershop,,Viña del Mar,Instagram DM,"instagram.com/bloodhabib.barbershop"
Dannisbarberfull,,no,,@dannis.barbershop,https://ig.me/m/dannis.barbershop,,5 Ote. 428 Viña del Mar,Instagram DM,"instagram.com/dannis.barbershop (verificar Viña)"
Uomo Barber Reñaca,,no,,@uomobarber_studio,https://ig.me/m/uomobarber_studio,,Reñaca Viña del Mar,Instagram DM,"instagram.com/uomobarber_studio"
Barber Club Viña,,no,,@barberclubvina,https://ig.me/m/barberclubvina,,Viña del Mar,Instagram DM,"instagram.com/barberclubvina (¿Unico Barber Club? verificar)"
The Wolf Salon,,no,,,,https://www.the-wolf.cl/,Traslaviña 238 Viña del Mar,IG a verificar,"the-wolf.cl (IG sin confirmar)"
Yhonser Barbershop,,no,,,,,Av. La Marina 134 Viña del Mar,IG a verificar,"agendapro"
Loyalty Barber,,no,,,,,Av. Valparaíso 617 Viña del Mar,IG a verificar,"agendapro"
Barbería Clemenza,,no,,,,,Av. Valparaíso 463 local 18 Viña del Mar,IG a verificar,"agendapro"
Reñaca Barber,,no,,,,,"Balmaceda, Reñaca 287 Local 7",IG a verificar,"agendapro"
TATAN BARBER,,no,,,,https://tatanbarber.setmore.com/,Viña del Mar,Reserva/IG,"setmore"
LEOBARBER'SHOP,,no,,,,,3 Pte. 563 Viña del Mar,IG a verificar,"agendapro"
Black Sheep Barbería,,no,,,,,Von Schroeder 229 Local 1 Viña del Mar,IG a verificar,"agendapro"
